,Tweets
701,فاشزم کے نئے ریکارڈ بن رہے ہیں۔
702,"رمضان میں بھی چھاپے اور گرفتاریاں
اتنا خوف کس بات کا؟ حوصلہ رکھو ابھی تو لوگ جاگنا شروع ہوئے ہیں۔"
703,کون لوگ ہیں یہ؟ کہاں سے آتے ہیں؟
704,"صدیق جان کو باقائدہ منصوبہ بندی کے تحت گرفتار کیا گیا، صدیق جان پر اگر کسی بھی قسم کا تشدد کیا گیا تو اس پر بھرپور احتجاج کریں گے، پاکستان میں صحافیوں کیلئے زمین تنگ کر دی گئی ہے، عمران ریاض خان کی گفتگو
#ReleaseSiddiqueJaan #صدیق_جان_کو_رہا_کرو
@ImranRiazKhan"
705,بھاگنے کے آخری راستوں میں سے ایک یہ بھی تھا۔ مجبور ترین سیاسی جماعتیں فرار کے چکر میں رہی سہی عزت بھی گنوا بیٹھیں گی۔ الیکشن میں تو بہرحال جانا ہی پڑے گا۔
706,میرا بھائی صدیق جان بہادر اور مضبوط ایمان والا انسان ہے۔ پورا یقین ہے وہ اس آزمائش کا ڈٹ کر مقابلہ کرے گا۔ اللہ اسکو ہمت دے اور ظالموں کا منہ کالا کرے !
707,پریس کانفرنس میں بیٹھے ہوۓ اگر کیسی صحافی میں ہمت ہے تو محترمہ سے یہ پوچھیں کہ آپ توشہ خانہ توشہ خانہ کر رہی ہے تو یہ بھی بتائیں کہ 5 کروڑ کی مرسڈیز 6 لاکھ میں کیسی خریدی؟
708,"بہت دکھ ہوا ارشد شریف کیس میں پیشرفت نہیں ہوئی 
چیف جسٹس آف پاکستان"
709,"توبہ توبہ
کس حال میں پہنچ گئے ہیں یہ لوگ"
710,پولیس پر حملہ ریاست پر حملہ ہے ،چیف جسٹس
711,"صدیق جان کو کہاں لیجایا گیا؟ ابتک پولیس کچھ بھی بتانے سے قاصر ہے۔ 
#ReleaseSiddiqueJaan"
712,میوزیک
713,25 مئی کو سی سی پی او بلال کمیانہ مے اک نیا طریقہ نکالا کہ شہریوں کی گاڑیوں کو توڑا جائے، پھر مارچ میں اک بار پھر یہ کیا گیا۔۔ نفرت کو پروان چڑھایا اور اب  عوام جواب دینا شروع ہو گئی!
714,PTIنے عمران خان کے گھر پر ماورائے عدالت حملہ کرنیوالوں کی تمام تفصیلات جمع کر لی ہیں۔ آئندہ ان لوگوں کے لیے کافی قانونی مسائل ہوں گے۔
715,میری گرفتاری پر عوام تو کیا میرا اپنا بھائی بھی ائیرپورٹ نہیں پہنچا، عمران خان کے لیے عوام کی غیرت جاگ گئی۔ نواز شریف اور اس کی بیٹی کو اصل دکھ یہ ہے۔ 
716,"رجیم چینج کی ایک اور گواہی
عمران خان کو ہٹانے میں فوج نے مدد کی وہ اچھے سیاستدان ہیں انتخابات 90 دن میں ہونے چاہئیں: مفتاح"
717,ڈیزل اور پیٹرول کی قیمتوں میں بالترتیب 13 اور 5 روپے لیٹر کا اضافہ کر دیا گیا۔ امپورٹڈ حکومت کا تجربہ پاکستانیوں کا خون نچوڑ کر چھوڑے گا۔ شکریہ سر
718,موت پڑ گئی ہے صحافت کے چیمپیئن بنے ہوئے صحافیوں کو صدیق جان کی گرفتاری کی خبر پر لفظی مذمت کرتے ہوئے - لفظی مذمت بھی ٹوئیٹ کر ڈالی تو واٹس ایپ گروپ میں ایسی گندی گالیاں ملیں گی کہ لفظ مذمت سے بھی نفرت کر بیٹھے گا....
719,کن ذہنی انتشار کے شکار لوگوں کو پنجاب ثونپ دیا ہے جو پلاسٹک کی بوتلوں میں بم بنا رہے اور دکھا رہے ہیں۔
720,دیکھتے ہیں۔۔۔
721,"پولیس نے عمران خان کے گھر سے  پٹرول بم، مشین گنیں، بندوقیں، راکٹ لانچر، ہیروئین اور کو کین لازمی ""برآمد"" کرنی ہے.. یہ اوپر سے حکم ہے.. تاکہ یہ جعلی طریقے سے برآمد کی گئی چیزیں میڈیا کو دکھا کر عمران خان کے خلاف پراپیگنڈا کیا جا سکے اور مریم نواز اس پر اپنی الیکشن کمپئین کر سکیں"
722,اس کا بیٹا پاکستانی عوام پر حکومت کے لیئے مسلط کیا گیا ہے؟ یا اس کا بیٹا یہاں کوئی عہدہ لے کر بیٹھا ہوا ہے کہ تمہارا لیڈر ہوں اور تمہارے دکھ دور کروں گا؟ کوئی عقل والی بات فرمایا کریں مطیع بھائی ، خامخواہ کی ہوائی فائرنگ سے لوگ بزدل سمجھتے ہیں بہادر نہیں....
723,الیکشن تو لڑنا ہی پڑے گا۔ جتنا مرضی بھاگ لیجیئے۔
724,"عمران ریاض، سمیع ابراہیم اور اب صدیق جان 
دن دیہاڑے لوگ اغوا، ظلم کی داستان رقم 
سازش کے پیچھے کون؟ شعیب شیخ نے سب بتادیا 
#صدیق_جان_کو_رہا_کرو #ReleaseSiddiqueJaan
@SdqJaan @samiabrahim @ImranRiazKhan"
725,"As 
@tariqmateen
 tweeted. Geo tv started the campaign, other channels have been asked to do the same. Its time to declare PTI a terrorist org and ban it!"
726,"صدیق جان ایک پولیس کا آنسو گیس شیل ساتھ لے گیا وہ برآمد کرنا ہے دس دن کا ریمانڈ دے دیں 
اسلام آباد پولیس کی استدعا"
727,"@SdqJaan صدیق جان کی گرفتاری اس بات کا ثبوت ہے کہ آنے والے دنوں میں صرف یک طرف خبریں دینے والے ہی بچیں گے باقی سب جیلوں میں ہوں  گے ۔ نت نئے مقدمے کس کو خوش کرنے کے لئے ؟
@AmirMateen2"
728,کوئی رہ تو نہیں گیا؟؟؟؟
729,یہ بھی صحافی ہیں!
730,"""نواز شریف اورسیز کا پیسہ تک کھا گیا، یہ ملک کے چھوٹے چھوٹے ٹکڑے کر کے یوگوسلاویہ بنانا چاہتا ہے۔ اس سے ملک کو بچانے کیلئے آپ کو منظم ہونا چاہیے: محترمہ بینظیر بھٹو""

اور آج اسی شریف خاندان کا منشی بنے اسی بینظیر کے بیٹے نے ملک کر آئین توڑنے کا جرم کیا۔"
731,پیپلز پارٹی کا جیالا یہ بات نہیں کر سکتا۔ ریاستی جبر کا سامنا آپکی جماعت نے بھی کیا ہے۔ ان لوگوں نے کسی تھانے یا سرکاری ادارے پر ن لیگ کی طرح حملہ نہیں کیا بلکہ صرف اپنے لیڈر کا سیاسی مقدمے میں پھنسا کر مارنے کے مبینہ منصوبے پر دفاع کیا ہے۔
732,آج کےبعدمولانافضل الرحمان،سراج الحق،سعد رضوی اورمولانا عبدالعزیزوغیرہ کو عدالتوں میں حاضریوں سے استثنیٰ مل گیا کیونکہ جھتے جمع کرنے میں ان کا کوئی ثانی نہیں۔ پی ٹی آئی والوں کے برعکس ان کے پیروکار گولی کھا بھی سکتے ہیں اور چلا بھی سکتے ہیں جبکہ ان کا نعرہ بھی دین کا نفاذ ہے۔
733,"نگران حکومتوں کو اتنا فرنٹ فٹ پر نہیں کھیلنا چاہئے یہ ہومیوپیتھک حکومت ہوتی ہے جسکا اولین کام غیر جانبدار الیکشن کرانا ہوتا ہے
 بس بس اور بس!
#ہیلو_بندیال_صاحب"
734,یوں حامد میر کی پاکستان کے دو صوبوں میں نفرت پھیلانے کی کوشش ناکام ہوئی۔ IG کا وضاحتی بیان۔۔۔
735,اور بہت ممکن ہے کہ اب امریکہ خود کو پاکستان میں ہونے والے کسی بھی گھناؤنے کھیل سے باہر رکھنا چاہتا ہو یا ایسا ثابت ہی کرنا چاہتا ہو۔ مگر کیا پاکستانی حکومت اور سہولتکار بند کمروں کے منصوبوں میں ملک کو مزید مسائل میں دھکیلنے میں تو مصروف نہیں؟
736,"صدیق کو اٹھانے والو تم تو پہلی رات میں ہار گئے اور 
@SdqJaan
 جیت گیا۔ رات کے اس پہر لوگ صدیق کیلئے باہر نکل رہے ہیں اور تم اسے اٹھا کر بھی رات کے اس پہر چھپ رہے ہو۔ اگر تم نے قانون کے تحت اٹھایا ہوتا تو گماشتوں کیطرح چھپ کر نہیں دن دیہاڑے وارنٹ دکھا کر اٹھاتے #صدیق_جان_کو_رہا_کرو"
737,Is this Pakistan or Sri-Lanka in making.
738,90 دن میں جنرل الیکشن کرانا آئین کے تحت لازمی ہے۔ جو اِس آرٹیکل کو سبوتاژ کرے وہ سیدھا آرٹیکل 6 کے تحت سنگین غداری کا ملزم ہے۔
739,کئی گنا زیادہ دہشت گردی اور بدترین صورتحال میں بھی انتخابات ہوتے رہے مگر آج بھاگنے کی وجہ ملکی حالات نہیں PDM کے حالات ہیں۔
740,"صدیق جان بری، الحمد لله، ایڈووکیٹ میاں علی اشفاق صاحب اور ٹیم اور عمران ریاض بھائی کا شاندار کام ، ما شاء الله.
 
@SdqJaan
 @ImranRiazKhan
 @MianAliAshfaq"
741,"زمان پارک پولیس آپریشن کر کے بڑی غلطی کر بیٹھی!! عینی شاہد نے وہ ثبوت سا... https://youtu.be/CtXGwaYyr_Y via 
@YouTube"
742,آۓ مل کر ان کی شناخت کرنے کی کوشش کرتے ہے یہ نا معلوم کون ہے کیا آپ میں سے کوئی اس کو جانتا ہے۔۔ کسی کا پڑوسی ہوگا رشتہ دار ہوگا۔۔ آگے شئیر ضرور کیجئے گا۔۔
743,پانی سے بار بار منہ دھوتے کیا کہیں سے آپ کو لگتا ہے صدیق جان جلائو گھیراو کر رہے ہیں ؟
744,کہا تھا نا کہ یہ ایک دہشت گرد جماعت ہے جس کے سرغنہ نے قانون اور سزا سے بچنے کے لیے شرپسند اور تربیت یافتہ دہشت گرد اپنے گھر میں رکھے ہوئے ہیں۔ یہ مناظر آج سے پہلے صرف دہشت گردی کے حوالے سے دیکھنے کو ملے۔ شرمناک!
745,Meanwhile Punjab police have led an assault on my house in Zaman Park where Bushra Begum is alone. Under what law are they doing this? This is part of London Plan where commitments were made to bring absconder Nawaz Sharif to power as quid pro quo for agreeing to one appointment.
746,عمران خان لاہور پاکستان کے دل میں بیٹھ کر سیاست کر رہا ہے۔ اس نے آج تک صوبائیت کی بات نہیں کی۔ پٹھان اور پنجابی کا فرق نہیں کیا۔ کھبی جاگ پنجابی جاگ کا نعرہ نہیں لگایا۔ خدا راہ ایسی نفرتوں کو ہوا مت ہوا دو۔ کسی کے ہاتھ میں کچھ نہیں آئے گا۔
747,"مڈل کلاس کا اظہر مشوانی اور شاہد حسین غائب ہیں۔ کوئی پتہ نہیں کہاں ہیں کس حال میں ہیں۔ 

ہم مڈل کلاس لوگوں  کی بس یہی کہانی ہے۔  جب جہاں جس وقت جس کا دل کرے اٹھا لے"
748," اسٹیبلشمنٹ کے لیے نئے احکامات
یعنی سپریم کورٹ اور نیب کے دفاتر پر کھلے حملے کرنیوالی سیاسی جماعت اور لیڈر کا دفاع کرنے والے کہتے شہری دہشت گرد۔"
749,کورونا کے دن تھے یہ شخص صدیق جان ڈاکٹروں کی محنت پر سیلوٹ کرنے میرے گھر اردو پواٸنٹ سٹوڈیو آیا تھا۔میں اور صدیق اس وقت کے دوست ہیں جب یہ قاٸد اعظم میڈیکل کالج کے ہاسٹل میں گمنام سا مگر باوقار تجزیہ نگار تھا۔اس شخص کو اس کی محنت سمیت آج گرفتار کرلیا گیا۔کیا بتاٶں کےکتنی سٹرگل کی
750,100 فیصد ہونا چاہیئے۔ انصاف کا یہی تقاضا ہے۔
751,پہلے اپنی عزت افزائی تو کروا لیں۔۔۔
752,ڈومیسائل کا فرق واضح ہے، جو کچھ عمران کر رہے، ہم کرتے تو مائیں ہمیں تلاش کررہی ہوتیں: خالد مقبول https://urdu.geo.tv/latest/321352-
753,"شکریہ 
@MAnwarRaza
 انور بھائی۔ آپ مشکل وقت میں باقی ساتھیوں سمیت ڈھال بنے رہے۔ "
754,سب ملے ہوئے ہیں
755,سر دکھ تو پوری قوم کو ہے آپ انصاف دیجیئے۔ ماں جی کی درخواست پر مقدمہ درج کروائیں اور زمہ داران کو کٹہرے میں لائیں۔
756,"پاکستان کو کہاں سے کہاں تک پہنچا دیا،
مفت آٹا تقسیم کے دوران بدنظمی کے واقعات، مزید 2 افراد جاں بحق
@UNICEF_Pakistan"
757,اندر سے فائرنگ اور پٹرول بم پھینکے جارہے ہیں، نگران وزیر اطلاعات پنجاب
758,یہ لوگ 70 سال تک دھوکے کھانے کے بعد اب اپنا لیڈر کھونے کے موڈ میں بالکل نہیں لگتے
759,"حسن ایوب صاحب نے جس کو کوٹ ٹویٹ کیا ،اس اکاؤنٹ نے ٹویٹ ڈیلیٹ کردیا ہے ،
ایسے نہیں ،ایسے نہیں ،اب نہ کرو ٹویٹس ڈیلیٹ ،
میں تم لوگوں کو گھر تک چھوڑ کر آؤں گا ،
حسن ایوب ہمارے دوست ہیں لیکن ہم معمولی سے دوست ہیں ،کچھ بڑے دوست ہیں ان کے ،
وہ بہت طاقتور دوست ہیں ،
جو لوگوں کو چینلز سے… Show more"
760,"France  
Firefighters and Police stand down, they chose the stand up with the people of France. They have stopped taking orders and stood for the rights of the people. #FRANCE"
761,"شیطان رمضان کے بابرکت مہینے میں PDM کی کوچنگ سے ریٹائرمنٹ کا اعلان کرتے ہوئے! 
Once again you nailed it 
@aun_khosa
 #حقیقی_آزادی_جلسہ"
762,رمضان المبارک میں الیکشن نہیں ہو سکتا مگر سیاسی کارکنوں کے گھروں میں چھاپے مارے جا سکتے ہیں۔
763,آج ایک مہرے کو عمران خان دہشت گرد کا بیانیہ پھیلاتے سنا۔ نوکری بھی بندے سے کیا کچھ کرواتی ہے۔ وہ پولیس والے نے صحیح مثال دی تھی کہ بھوک مداری کو لگتی ہے اور ناچنا بندر کو پڑتا ہے۔
764,پس ثابت ہوا کہ سابق وزیر اعظم عمران خان سر جھکا کر بے عزتی کروانے کے لیے بالکل آمادہ نہیں تھے۔
765,"بہت بہت مبارک 
@SdqJaan
آپ نے حق بات کی اور فتح یاب ہوئے بے شک
@MianAliAshfaq
نے بہترین دلائل دیے
@ImranRiazKhan
 @samiabrahim"
766,"The right to freedom of expression is protected by Article 19 of the Islamic Republic of Pakistan's Constitution.we condemn illegal arrest of Pakistani journalist 
@SdqJaan"
767,سلسلہ واقعی یہاں سے شروع ہوا تھا۔ تحریک انصاف کو دہشت گرد جماعت قرار دینا پرانی خواہش ہے۔
768,یہ عمران خان صاحب کے بہنوئی ہیں۔  ان کا سیاست سے دور دور تک کوئی تعلق نہیں۔ اور کتنا گرنا ہے
769,آج پاکستان میں مہنگائی 45 فیصد سے بڑھ گئی ہے۔ شاباش سہولتکاروں اور کل تک 15 فیصد تک کی مہنگائی پر گھنگھرو توڑ کر ناچنے والے میڈیا کو۔
770,"بھاٸی جان 
@ImranRiazKhan
  عمرہ مبارک ہو 
ہمیں بھی اہنی دعاوں میں یاد رکھیے گا ، پاکستان کی سلامتی اور ظالموں کے خاتمے کی دعا ضرور کیجیے گا"
771,"ویسے عجیب ہی ہو گیا کوئٹہ پولیس حسان نیازی کو جس مقدمہ میں گرفتار کرکے لے گئی  وہ عمران خان کی ممکنہ گرفتاری احتجاج کے تناظر میں 18 مارچ کو کوئٹہ چمن روڈ پر احتجاج کا ہے جس میں مقامی PTI رہنما نامزد ، 150/100 نامعلوم ملزمان ہیں ان میں ایک نامعلوم ملزم ""حسان نیازی"" بھی ہے ، واہ"
772,اسٹیبلشمنٹ کو چاہیئے کہ 50 روپے کے سٹاک پیپر پر یہ ملک اور اسکا اقتدار ہمیشہ کے لیے اپنے وفاداروں یعنی شریفوں اور زرداریوں کو لکھ کر دے دے اور ہاں اس پر عدلیہ کی مہر بھی لگوا لے تاکہ سند رہے اور بوقت ضرورت کام آئے۔
773,پیمرا نے ایک بار پھر آج کے دن ٹی وی چینلز کو عمران خان کی کسی بھی قسم کی ریلی کوریج سے روک دیا ۔
774,یہ قیدیوں کی وینز کی وڈیوز ہیں: اور ان میں سے اسی فیصد لوگ زمان پارک کے رہائشی یا رہائشیوں کے ملازمین ہیں: جو جو نظر آ رہا پولیس اٹھا اٹھا وین میں ڈال رہی۔ زمان پارک میں ہیوی آپریشن جاری۔
775,حنا آپ کی پارٹی کی اعظمی بخاری عظمی کاردار نے مجھے سوشل میڈیا پر تکلیف دی ۔ آپ کی فالونگ میں بہت سے کارکنان نے مجھے پر عدت میں شادی کا جھوٹا الزام لگا دیا تب آپ نے مذمت کیوں نہیں کی۔ سب خواتین کا احترام کرنا واجب نہیں؟
776,کچھ اینکرز حضرات کو اس فرق کا پتہ چل جاتا ہے کہ یہ تصویر مینار پاکستان کے پچھلے جلسے کی ہے یا حالیہ جلسے کی. لیکن انہیں معیشت کی چھ فیصد گروتھ والی تصویر اور حالیہ 47 فیصد مہنگائی والی معیشت کی تصویر میں فرق دکھائی نہیں دیتا، جمہوریت اور فاشزم میں بھی فرق دکھائی نہیں دیتا
777,توشہ خانہ کا ریکارڈ غائب ہوچکا ہے؟؟ جب عدالت نے مکمل ریکارڈ پیش کرنے کے لیے کہا تو حکومت سامنے لانے کے لیے تیار کیوں نہیں، اگر ماضی کے حکمران اتنے ایماندار تھے تو ڈر کس بات کا؟
778,کچھ ایڈونچر گلے پڑ جاتے ہیں لیکن سمجھ نہیں آتی۔ لگے رہیں!!!
779,"ہیرے ہیں ہیرے نواز شریف کے پاس
ویسے ان ۔۔۔۔۔۔۔۔۔ کو مسلط کرنے والے ۔۔۔۔۔۔۔۔ کو سلام"
780,"ایک سیاسی خاتون کی تسکین کیلئے حکومت عمران خان کو گرفتار کرنا چاہتی ہے اور یہ سیاسی خاتون کو بتایا جاتا ہے کہ آپ کی تقریر کے دوران عمران خان گرفتار ہو جائے گا لیکن ایسا نہیں ہوتا۔ حسن رضا ڈپٹی بیورو چیف دنیا نیوز لاہور
@HasanRazaLhr"
781,سینیئر صحافی جو زمان پارک کے باہر کوریج کر رہے تھے جعلی سرچ آپریشن کی دھجیاں اڑاتے ہوئے۔
782,حامد میر اسٹیبلشمنٹ اور PDM کے ایجنٹ کے طور پر پوری طرح متحرک ہو چکا ہے۔ یہ شخص ماورائے عدالت طاقت کے اندھے استعمال پر اپنے بھائی کے ساتھ کھڑا ہے اور انسانی حقوق کی بدترین خلاف ورزیوں پر ایک لفظ بولنے کو تیار نہیں۔
783,اللہ رب العزت پاکستان اور اسکے محافظوں کی حفاظت فرمائے آمین
784,پولیس کی ایک اور گاڑی کو مظاہرین نے جلادیا۔
785,"پچھلے ایک سال کی چند ایک ""Readings""،

 حکومت میں تھا تو کہا گیا کہ صرف 7 فیصد پاپولر ہے اور نکلنے پر کوئی باہر نہیں آئے گا۔

 نئی حکومت آئی تو کہا گیا کہ سٹاک مارکیٹ اوپر گئی اور ڈالر کا ریٹ مستحکم ہوا۔

 25 مئی کو فساد سے بچنے کیلئے واپس لوٹا تو کہا گیا کہ ڈرپوک ہے۔

… Show more"
786,Congratulations Captain 
787,"اسلام آباد کیپیٹل پولیس اور دیگر قانون نافذ کرنیوالے اداروں کے خلاف سوشل میڈیا پر منظم پراپیگنڈہ مہم چلائی جارہی ہے۔

اسلام آباد پولیس نے کسی 10 سال کے کم عمر بچے کو گرفتار نہیں کیا۔ پولیس افسران کو ان کے قانونی فرائض سے روکنے کے لئے نفرت انگیز پراپیگنڈہ کیا جارہا ہے۔"
788,"This is the character of Islamabad police led by IG Akbar Nasir & on his instructions 
Beating women children and civilians firing rubber bullets on their face,tear gas shells & intense beaten charge 
@UN @hrw @Declaracion @UN_HRC @amnesty @BBCWorld @cnn @SkyNews @soldierspeaks"
789,اللہ ربالعزت ہے۔ آج پاکستان ایک بن کر کھڑا ہے۔
790,ہا ہاہا۔ دیکھیں جناب یہ صاحب اینٹی اسٹیبلشمنٹ ہوا کرتے تھے۔ یا اللہ کیسے کیسوں کے نقاب تو نے اتار دیے۔ قابل رحم
791,جس نے عمران خان پر گولیاں چلائیں وہ ویڈیو لنک پر پیش ہوتا ہے اور عمران خان لاہور سے اسلام آباد پیشی کے لیے آ رہا ہے۔ بہرحال آپکی صحافت کو خون چاہیئے۔۔
792,"آج مہنگائی 45 فیصد، ڈالر کی قیمت میں لگاتار اضافہ اور عالمی منڈی میں کمی کے باوجود پیٹرولیم مصنوعات کی قیمتیں آسمانوں پر جبکہ حکومت کی توجہ صدیق جان کی گرفتاری پر۔ 
#ReleaseSiddiueJaan"
793,فسطائیت کا ایک نیا شکنجہ تیار ہو رہا ہے، عمران خان کے کچھ مقدمات CTD اور SIU کے حوالے کرنے کی بھی تیاری ہو رہی ہے۔ میرے الفاظ لکھ کر رکھ لیں، اتنی سختی ہو گی کہ 75 سال کے جبر کے تمام ریکارڈ ٹوٹ جائیں گے۔ عمران خان کا زندہ بچ جانا اور الیکشن جیتنا صرف معجزہ سے ہی ممکن ہو سکے گا twitter.com/ameerabbas84/s…
794,"Watching the videos closely, it's hard to ignore the truth - these are NOT political workers. They are trained terrorists & miscreants recruited from banned outfits that IK has always been supportive of. The evidence speaks for itself. The state must act before it’s too late."
795,جسٹس طارق سلیم شیخ کو سلام ۔۔۔
796,آج زمان پارک میں آپ پولیس کو بیگ پہنے دیکھیں گے .. اب ان بیگز میں کیا لے کر جایا جا رہا ہے اور پھر بعد میں کیا کچھ ریڈ میں ڈالا جائے گا .. اندازہ کر لیں
797,واہگہ بارڈر پریڈ سے قبل اعلان کیا گیا کہ پاکستان زندہ باد کے علاوہ کوئی نعرہ نہ لگائیں۔ اس خصوصی اعلان کی کیا وجہ ہوسکتی ہے؟
798,"کراچی میں پولیس نے جب ریڈ کیا تو کیپٹن ریٹائرڈ صفدر اور مریم نواز الگ الگ کمروں میں تھے وہ دونوں ایک کمرے میں نہیں تھے۔جنرل ریٹائرڈ قمر جاوید باجوہ

اب یہ نیا کٹا کھل گیا"
799,وہ صحافی جو اینٹی اسٹیبلشمنٹ کے لبادے میں تھے وہ کیسے کیسے بند کمروں میں اسٹیبلشمنٹ کے بوٹ پالش کرتے رہے۔ سامنے آنیوالا ہے۔
800,آپریشن 20 minutes یہ نام تھا اس آپریشن کا۔۔۔
801,#آئین_شکنی_نامنظور
802,اللہ رب العزت کا شکر۔۔۔
803,Alhamdullillah
804,یوم پاکستان پر قوم کو آئین پر شب خون کا تحفہ۔ ویسے مجھے یہ لوگ اتنے بزدل نہیں لگتے تھے۔
805,لاہور ہائی کورٹ نے عمران خان کی گرفتاری سے روک دیا۔
806,سکائی نیوز
807,علی نواز اعوان کے گھر پر پولیس کا چھاپہ
808,PTI کو بطور سیاسی جماعت بین کرنے کے لیے دوبارہ خونی کھیل کھیلنے کا فیصلہ۔۔۔
809,ابھی میاں علی اشفاق سے تفصیلی بات ہوئی ہے ہم ہر سطح پر یہ مقدمہ لڑیں گے۔ انشاءاللہ جلد صدیق جان اپنی سکرین پر واپس نظر آئیگا۔
810,She is desperate and can go to any extent.
811,یہ ہے وہ نسل جو عمران خان نے پیدا کی
812,"میں بہت دنوں سے پولیس والوں کو خُون خرابہ کرنے سے روک رہا ہُوں۔ 

مُحسن نقوی 

نقوی صاحب آپ سٹھیا تو نہیں گئے ہیں کہیں ؟ آپ کہہ رہے ہیں کہ پنجاب پولیس قتل و غارت کرنا چاہتی ہے اور فقط آپ ہیں جو روک رہے ہیں ؟ 

ہے کوئ جو عدالت میں اس بات کا نوٹس لے ؟ یہ بات ویڈیو پر موجود ہے۔"
813,گندی اولاد
814,گلگت کے کمانڈوز : ریلی میں سیکیورٹی دیتے رہے لیکن یہ آپریشن زمان پارک میں کہیں نظر نہیں آئے۔
815,"RIP, son of the soil, Brig Mustafa Kamal Barki. "
816,"""جو باتیں الیکشن کمیشن نے الیکشن ملتوی کرنے کیلئے کی ہے اگر میں کروں تو کالا ویگو مجھے لینے آجائے گا،الیکشن کمیشن کا فیصلہ ایسا گھناؤنا مذاق ہے جس کا ہم دنیا کو اپنے نارمل ہونے کا یقین دلاتے رہیں گے اور دنیا ہم پر یقین نہیں کرے گی۔""۔حبیب اکرم
@HabibAkram"
817,حسان نیازی کو کوئٹہ پولیس کے حوالے کر دیا گیا۔ یہ تو رمضان میں بھی باز نہیں آ رہے۔۔۔
818,توبہ توبہ  https://twitter.com/tanolipak/status/1636246454216843264/video/1…
819,جیساکہ 18مارچ کو جوڈیشل کمپلیکس میں دیکھا گیا، پولیس اور سادہ کپڑوں میں ملبوس”نامعلوم افراد“ نے تحریک انصاف کےپرامن کارکنان،حتّٰی کہ ہمارے فوٹوگرافر پر حملہ کیا اور انہیں گرفتارکیا۔پرامن شہریوں کیخلاف تشدد کا ایسابےدریغ استعمال اور عام شہریوں کا اغواء نہایت اشتعال انگیز ہے۔
820,ایف آئی اے سائبر کرائم ونگ اسلام آباد ہائیکورٹ کے آرڈرز کے خلاف صحافیوں کو ہراساں کررہی ہے، نیشنل پریس کلب میں صحافیوں کی صدیق جان  @SdqJaan کے ساتھ اظہار یکجہتی کیلئے نشست سے سینیئر صحافی ثاقب بشیر @saqibbashir156 کی گفتگو
821,سنجیدگی
822,مادر ملت بھی ڈٹ گئی تھیں۔ آپ بھی ڈٹ جائیے۔ ووٹ ڈالنا آپکا حق ہے اور آپکا ووٹ ایک امانت ہے۔
823,کہانی بس اتنی سی ہے کہ وفاقی حکومت کے پاس آٹا سبٹڈی کیلئے 60 ارب تو ہیں مگر دو صوبوں کے الیکشن کیلئے 20 ارب نہیں ہیں۔۔
824,پہلے عدالت آنے پر مجبور کرو پھر عدالت کے اندر سے بدترین شیلنگ کرو جب لوگ جواب دیں تو اسے عدالت پر حملہ قرار دو۔ اور اپنے پالتو صحافیوں کو دہشت گرد ثابت کرنے پر لگا دو۔ شاباش مگر یہ 2023 ہے۔
825,"لاہور ہائیکورٹ نے زمان پارک پولیس آپریشن روکنے کے کا تحریری حکم جاری کردیا
عدالت آئی جی پنجاب کو ڈائریکشن دینی ہے آپریشن روک دیا جائے، تحریری حکم
پولیس فورس کو مال روڈ،کینال بریج، دھرم پورہ بریج اور ٹھنڈی سٹرک سے ہٹایا جائے، تحریری حکم"
826,پی ٹی آئی شرپسندوں کی پولیس پر سیدھی فائرنگ
827,"اسلام آباد یہ سول کپڑوں میں نامعلوم شخص تحریک انصاف کے کارکنوں کو پکڑ پکڑ کر پولیس کے حوالے کررہا تھا
اس کا بھی پتا کروایا جائے کون ہے"
828,"عمران نے گرفتاری کیوں نہیں دی 
پاکستان کی عدالتی اور سیاسی تاریخ تابناک نہیں جس پر فخر کیا جا سکے بلکہ ایک ایسا دھبہ ہے جس پر شرمساری ہی شرمساری ہے۔ 
یہ کہانی محمد علی جناحؒ کی ایمبولینس پھنسنے سے شروع ہوتی ہے قوم جاننا چاہتی تھی کہ محمد علی جناح ایمبولینس میں آخری سانسیں لے"
829,یہ ایک سینیٹر صاحب کے الفاظ ہیں۔ کیا عورت صرف ایک ہی ہے؟
830,آئندہ حاجی اور حافظ کہنا جرم ہوگا۔ انکا لحاظ لازم ہے۔ اللہ رب العزت سے دعا ہے کہ انہیں ہدایت دے دنیا بھر میں بغاوت اور غداری جیسی دفعات ہمارے پاکستانیوں کے لیے ہی بچی ہیں ۔
831,"قاسم سوری کی رولنگ پر آئین شکنی کی ٹویٹس کرنے والے جیّد صحافی کہاں گئے 
#آئین_شکنی_نامنظور  #آئین_ٹوٹ_گیا"
832,خوف کا بت ٹوٹ گیا۔ اب اگلا سٹاپ پاکستان کی مافیا سے آزادی
833,جس طرح عمران خان کے گھر میں ریاستی دہشت گردی ہوئی ہے، توڑ پھوڑ کی گئی ہے ایسا نوازشریف کے گھر ہوتا تو کیا میڈیا اور اینکرز تب بھی ایسے ہی خاموش ہوتے؟
834,حامد میر صاحب دیکھیں ریاست اپنے شہری کو کچل رہی ہے
835,شاباش شہباز گل برے وقت نے جو شاندار اثرات آپ پر ڈالے ہیں وہ بے مثال ہیں۔ یا ہو سکتا ہے کہ آپکی شخصیت کا یہ رخ پہلے نظر ہی نہ آیا ہو۔ سلامت رہیے
