,Tweets
71,یہ ہے وہ اصل فوٹیج جس کی آواز میوٹ کرکے اور صرف شروع کا حصہ کاٹ کر چند لوگ شئیر کرکے بتا رہے تھے کہ عمران خان کا جلسہ فلاپ ہوگیا۔ فیر پھڑے گئے۔ 
72,کارپوریٹ فارمنگ بھی فوج کرے گی؟
73,Many police officers in France are stepping down and standing with the protestors. #Paris
74,"مراد سعید کے گھر پولیس کا مبینہ چھاپہ
مگر یاد رہے کہ چادر اور چار دیواری کا تقدس صرف ایک خاتون کے لیے ہے۔"
75,مداخلت کی منتظر قوم 
76,شکر ہے ہماری فورسز کے دماغ  ایسی خرافات سے پاک ہیں۔ ان کو نوکری سب سے زیادہ عزیز ہے وہ بھی پورے نظم و ضبط ۔کے ساتھ ۔لوگوں کو مارنا پیٹنا، بغیر مقدمات اٹھانا ، جان سے بھی مار سکتی ہیں جانتی پر قانون کی عملداری یقینی بناتے ہیں ۔ فرانس پولیس کو پنجاب پولیس سے ٹریننگ لینی چاہیے ۔
77,"بریکنگ نیوز

آئین اورسپریم کورٹ کے احکامات کے ساتھ کھلواڑ

 الیکشن کمیشن نے پنجاب میں 30 اپریل کو ہونے والے انتخابات ملتوی کردئیے
Election Commission of Pakistan (ECP)has withdrawn schedule of holding Punjab Assembly elections. Now elections will be held on October 8."
78,یہ مذمت نہیں ایک طنز ہے اور ان جیسوں سے ایسے ہی کی امید کی جا سکتی ہے.
79,Some witnesses already informed that unknown persons in civil dresses came before IK and during and after shelling the did all the destruction to label PTI as a terrorist party.
80,"پولیس نے کل 18 مارچ جی الیون چوک میں عمران خان اور کارکنان کے جانے کے بعد گاڑیوں کو خود اگ لگائ ۔ ویڈیو پیش خدمت ہیں۔
@SdqJaan @ehtashamabbasi @Qarar009 @AbdulqadirARY @UmarJavaidJutt @RizwanGhilzai @tanolipak @MaleehaHashmey @AsadKharal @asmashirazi @iihtishamm"
81,افسوس - صحافی اور دوست بھائی صدیق جان کی گرفتاری کی خبر زرائع پر ڈال کر بغیر مذمت کیئے ہاتھ صاف کر لیئے - وہ تو ہر ٹوئیٹ میں کہتا رہا کہ میرے دوست اور بھائی ہیں حسن ...لفظی مذمت ہی کر دیتے بھائی
82,اگر زمان پارک ڈیرہ بگتی میں ہوتا ؟
83,Burn lifafa journalists!!! BURN!!! 
84,"صحافیوں کی گرفتاری آج بھی قابل مذمت ہے کل بھی تھی اور آئندہ بھی  مذمت کرتے رہنگے، 

آزادی اظہار رائے پر پابندی بالکل بھی قبول نہیں"
85,ان سب کے نام اور پہچان عمران خان کے پاس موجود ہے۔
